Location,Iso3,Value,type
Algeria,DZA,7.324283,Fertility
Algeria,DZA,7.306645,Fertility
Algeria,DZA,7.289405,Fertility
Algeria,DZA,7.291272,Fertility
Algeria,DZA,7.311057,Fertility
Algeria,DZA,7.336354,Fertility
Algeria,DZA,7.358284,Fertility
Algeria,DZA,7.386414,Fertility
Algeria,DZA,7.437793,Fertility
Algeria,DZA,7.453914,Fertility
Algeria,DZA,7.502617,Fertility
Algeria,DZA,7.563501,Fertility
Algeria,DZA,7.606694,Fertility
Algeria,DZA,7.649319,Fertility
Algeria,DZA,7.673369,Fertility
Algeria,DZA,7.678985,Fertility
Algeria,DZA,7.672004,Fertility
Algeria,DZA,7.666922,Fertility
Algeria,DZA,7.65467,Fertility
Algeria,DZA,7.653123,Fertility
Algeria,DZA,7.635103,Fertility
Algeria,DZA,7.600267,Fertility
Algeria,DZA,7.545662,Fertility
Algeria,DZA,7.491463,Fertility
Algeria,DZA,7.43994,Fertility
Algeria,DZA,7.372542,Fertility
Algeria,DZA,7.305875,Fertility
Algeria,DZA,7.230218,Fertility
Algeria,DZA,7.140362,Fertility
Algeria,DZA,7.059383,Fertility
Algeria,DZA,6.952378,Fertility
Algeria,DZA,6.807949,Fertility
Algeria,DZA,6.635134,Fertility
Algeria,DZA,6.4357,Fertility
Algeria,DZA,6.219381,Fertility
Algeria,DZA,5.97477,Fertility
Algeria,DZA,5.625073,Fertility
Algeria,DZA,5.326777,Fertility
Algeria,DZA,5.059434,Fertility
Algeria,DZA,4.826113,Fertility
Algeria,DZA,4.556412,Fertility
Algeria,DZA,4.385718,Fertility
Algeria,DZA,4.25726,Fertility
Algeria,DZA,4.058909,Fertility
Algeria,DZA,3.84568,Fertility
Algeria,DZA,3.456287,Fertility
Algeria,DZA,3.135934,Fertility
Algeria,DZA,2.897301,Fertility
Algeria,DZA,2.711933,Fertility
Algeria,DZA,2.624447,Fertility
Algeria,DZA,2.565514,Fertility
Algeria,DZA,2.506867,Fertility
Algeria,DZA,2.456257,Fertility
Algeria,DZA,2.481242,Fertility
Algeria,DZA,2.512356,Fertility
Algeria,DZA,2.554638,Fertility
Algeria,DZA,2.603851,Fertility
Algeria,DZA,2.676564,Fertility
Algeria,DZA,2.753151,Fertility
Algeria,DZA,2.812726,Fertility
Algeria,DZA,2.843406,Fertility
Algeria,DZA,2.880029,Fertility
Algeria,DZA,2.955667,Fertility
Algeria,DZA,2.956752,Fertility
Algeria,DZA,3.003714,Fertility
Algeria,DZA,3.041392,Fertility
Algeria,DZA,3.050569,Fertility
Algeria,DZA,3.049636,Fertility
Algeria,DZA,3.023293,Fertility
Algeria,DZA,2.988067,Fertility
Algeria,DZA,2.941917,Fertility
Algeria,DZA,2.888596,Fertility
Algeria,DZA,2.82933,Fertility
Algeria,DZA,2.767288,Fertility
Angola,AGO,5.7712,Fertility
Angola,AGO,5.831075,Fertility
Angola,AGO,5.94815,Fertility
Angola,AGO,6.059875,Fertility
Angola,AGO,6.16625,Fertility
Angola,AGO,6.26735,Fertility
Angola,AGO,6.363425,Fertility
Angola,AGO,6.454775,Fertility
Angola,AGO,6.542,Fertility
Angola,AGO,6.626175,Fertility
Angola,AGO,6.708475,Fertility
Angola,AGO,6.790025,Fertility
Angola,AGO,6.87175,Fertility
Angola,AGO,6.9539,Fertility
Angola,AGO,7.03585,Fertility
Angola,AGO,7.116468,Fertility
Angola,AGO,7.194166,Fertility
Angola,AGO,7.266708,Fertility
Angola,AGO,7.331954,Fertility
Angola,AGO,7.388379,Fertility
Angola,AGO,7.433934,Fertility
Angola,AGO,7.466949,Fertility
Angola,AGO,7.48795,Fertility
Angola,AGO,7.498304,Fertility
Angola,AGO,7.499536,Fertility
Angola,AGO,7.494182,Fertility
Angola,AGO,7.485248,Fertility
Angola,AGO,7.475488,Fertility
Angola,AGO,7.467046,Fertility
Angola,AGO,7.461097,Fertility
Angola,AGO,7.458507,Fertility
Angola,AGO,7.459247,Fertility
Angola,AGO,7.461146,Fertility
Angola,AGO,7.461738,Fertility
Angola,AGO,7.459223,Fertility
Angola,AGO,7.451045,Fertility
Angola,AGO,7.434661,Fertility
Angola,AGO,7.408854,Fertility
Angola,AGO,7.373125,Fertility
Angola,AGO,7.327512,Fertility
Angola,AGO,7.272259,Fertility
Angola,AGO,7.208217,Fertility
Angola,AGO,7.137979,Fertility
Angola,AGO,7.064508,Fertility
Angola,AGO,6.990266,Fertility
Angola,AGO,6.918118,Fertility
Angola,AGO,6.85055,Fertility
Angola,AGO,6.7885,Fertility
Angola,AGO,6.732425,Fertility
Angola,AGO,6.682637,Fertility
Angola,AGO,6.639138,Fertility
Angola,AGO,6.601263,Fertility
Angola,AGO,6.566775,Fertility
Angola,AGO,6.533225,Fertility
Angola,AGO,6.498737,Fertility
Angola,AGO,6.46135,Fertility
Angola,AGO,6.419463,Fertility
Angola,AGO,6.372375,Fertility
Angola,AGO,6.319525,Fertility
Angola,AGO,6.260287,Fertility
Angola,AGO,6.193819,Fertility
Angola,AGO,6.119625,Fertility
Angola,AGO,6.038846,Fertility
Angola,AGO,5.953183,Fertility
Angola,AGO,5.864282,Fertility
Angola,AGO,5.77437,Fertility
Angola,AGO,5.685745,Fertility
Angola,AGO,5.600094,Fertility
Angola,AGO,5.518692,Fertility
Angola,AGO,5.442338,Fertility
Angola,AGO,5.371144,Fertility
Angola,AGO,5.304419,Fertility
Angola,AGO,5.20903,Fertility
Angola,AGO,5.123929,Fertility
Botswana,BWA,6.428729,Fertility
Botswana,BWA,6.42924,Fertility
Botswana,BWA,6.438575,Fertility
Botswana,BWA,6.485003,Fertility
Botswana,BWA,6.532826,Fertility
Botswana,BWA,6.564339,Fertility
Botswana,BWA,6.60331,Fertility
Botswana,BWA,6.646577,Fertility
Botswana,BWA,6.646538,Fertility
Botswana,BWA,6.65326,Fertility
Botswana,BWA,6.627709,Fertility
Botswana,BWA,6.596763,Fertility
Botswana,BWA,6.571081,Fertility
Botswana,BWA,6.631921,Fertility
Botswana,BWA,6.687775,Fertility
Botswana,BWA,6.687111,Fertility
Botswana,BWA,6.691518,Fertility
Botswana,BWA,6.677685,Fertility
Botswana,BWA,6.667663,Fertility
Botswana,BWA,6.638642,Fertility
Botswana,BWA,6.617084,Fertility
Botswana,BWA,6.591518,Fertility
Botswana,BWA,6.592834,Fertility
Botswana,BWA,6.592686,Fertility
Botswana,BWA,6.593497,Fertility
Botswana,BWA,6.577928,Fertility
Botswana,BWA,6.555855,Fertility
Botswana,BWA,6.49454,Fertility
Botswana,BWA,6.435117,Fertility
Botswana,BWA,6.358484,Fertility
Botswana,BWA,6.252559,Fertility
Botswana,BWA,6.128273,Fertility
Botswana,BWA,5.933296,Fertility
Botswana,BWA,5.746252,Fertility
Botswana,BWA,5.582097,Fertility
Botswana,BWA,5.426956,Fertility
Botswana,BWA,5.269661,Fertility
Botswana,BWA,5.060255,Fertility
Botswana,BWA,4.85176,Fertility
Botswana,BWA,4.650794,Fertility
Botswana,BWA,4.486549,Fertility
Botswana,BWA,4.33877,Fertility
Botswana,BWA,4.229188,Fertility
Botswana,BWA,4.129646,Fertility
Botswana,BWA,4.009076,Fertility
Botswana,BWA,3.803021,Fertility
Botswana,BWA,3.599955,Fertility
Botswana,BWA,3.457955,Fertility
Botswana,BWA,3.396231,Fertility
Botswana,BWA,3.342031,Fertility
Botswana,BWA,3.311517,Fertility
Botswana,BWA,3.261303,Fertility
Botswana,BWA,3.180825,Fertility
Botswana,BWA,3.109635,Fertility
Botswana,BWA,3.07347,Fertility
Botswana,BWA,3.079516,Fertility
Botswana,BWA,3.090786,Fertility
Botswana,BWA,3.081651,Fertility
Botswana,BWA,3.065784,Fertility
Botswana,BWA,3.045351,Fertility
Botswana,BWA,3.023022,Fertility
Botswana,BWA,2.999256,Fertility
Botswana,BWA,2.980851,Fertility
Botswana,BWA,2.963806,Fertility
Botswana,BWA,2.950641,Fertility
Botswana,BWA,2.942291,Fertility
Botswana,BWA,2.929659,Fertility
Botswana,BWA,2.909962,Fertility
Botswana,BWA,2.90277,Fertility
Botswana,BWA,2.883439,Fertility
Botswana,BWA,2.835742,Fertility
Botswana,BWA,2.791364,Fertility
Botswana,BWA,2.754393,Fertility
Botswana,BWA,2.716064,Fertility
Burundi,BDI,6.922931,Fertility
Burundi,BDI,6.913896,Fertility
Burundi,BDI,6.900235,Fertility
Burundi,BDI,6.91464,Fertility
Burundi,BDI,6.917043,Fertility
Burundi,BDI,6.930099,Fertility
Burundi,BDI,6.931254,Fertility
Burundi,BDI,6.932129,Fertility
Burundi,BDI,6.94915,Fertility
Burundi,BDI,6.979183,Fertility
Burundi,BDI,7.002647,Fertility
Burundi,BDI,7.022653,Fertility
Burundi,BDI,7.03848,Fertility
Burundi,BDI,7.066627,Fertility
Burundi,BDI,7.089666,Fertility
Burundi,BDI,7.113315,Fertility
Burundi,BDI,7.134903,Fertility
Burundi,BDI,7.155749,Fertility
Burundi,BDI,7.179927,Fertility
Burundi,BDI,7.214779,Fertility
Burundi,BDI,7.214485,Fertility
Burundi,BDI,7.213272,Fertility
Burundi,BDI,7.210117,Fertility
Burundi,BDI,7.21548,Fertility
Burundi,BDI,7.222224,Fertility
Burundi,BDI,7.244177,Fertility
Burundi,BDI,7.247986,Fertility
Burundi,BDI,7.24531,Fertility
Burundi,BDI,7.258642,Fertility
Burundi,BDI,7.307066,Fertility
Burundi,BDI,7.352631,Fertility
Burundi,BDI,7.328829,Fertility
Burundi,BDI,7.314221,Fertility
Burundi,BDI,7.297978,Fertility
Burundi,BDI,7.295076,Fertility
Burundi,BDI,7.293651,Fertility
Burundi,BDI,7.319753,Fertility
Burundi,BDI,7.379552,Fertility
Burundi,BDI,7.382803,Fertility
Burundi,BDI,7.386872,Fertility
Burundi,BDI,7.365062,Fertility
Burundi,BDI,7.336361,Fertility
Burundi,BDI,7.300541,Fertility
Burundi,BDI,7.272365,Fertility
Burundi,BDI,7.230234,Fertility
Burundi,BDI,7.183612,Fertility
Burundi,BDI,7.123405,Fertility
Burundi,BDI,7.040367,Fertility
Burundi,BDI,6.957955,Fertility
Burundi,BDI,6.897352,Fertility
Burundi,BDI,6.871521,Fertility
Burundi,BDI,6.849002,Fertility
Burundi,BDI,6.818742,Fertility
Burundi,BDI,6.785496,Fertility
Burundi,BDI,6.746361,Fertility
Burundi,BDI,6.707592,Fertility
Burundi,BDI,6.658865,Fertility
Burundi,BDI,6.58845,Fertility
Burundi,BDI,6.514925,Fertility
Burundi,BDI,6.409153,Fertility
Burundi,BDI,6.25991,Fertility
Burundi,BDI,6.108129,Fertility
Burundi,BDI,5.990923,Fertility
Burundi,BDI,5.888722,Fertility
Burundi,BDI,5.794481,Fertility
Burundi,BDI,5.695056,Fertility
Burundi,BDI,5.586523,Fertility
Burundi,BDI,5.481355,Fertility
Burundi,BDI,5.379986,Fertility
Burundi,BDI,5.271263,Fertility
Burundi,BDI,5.176555,Fertility
Burundi,BDI,5.077895,Fertility
Burundi,BDI,4.980286,Fertility
Burundi,BDI,4.878397,Fertility
Cameroon,CMR,5.536928,Fertility
Cameroon,CMR,5.519209,Fertility
Cameroon,CMR,5.489509,Fertility
Cameroon,CMR,5.471281,Fertility
Cameroon,CMR,5.464527,Fertility
Cameroon,CMR,5.469201,Fertility
Cameroon,CMR,5.48511,Fertility
Cameroon,CMR,5.51181,Fertility
Cameroon,CMR,5.54854,Fertility
Cameroon,CMR,5.594084,Fertility
Cameroon,CMR,5.64685,Fertility
Cameroon,CMR,5.704965,Fertility
Cameroon,CMR,5.766227,Fertility
Cameroon,CMR,5.828434,Fertility
Cameroon,CMR,5.889723,Fertility
Cameroon,CMR,5.948612,Fertility
Cameroon,CMR,6.004379,Fertility
Cameroon,CMR,6.057502,Fertility
Cameroon,CMR,6.108369,Fertility
Cameroon,CMR,6.143229,Fertility
Cameroon,CMR,6.198304,Fertility
Cameroon,CMR,6.255044,Fertility
Cameroon,CMR,6.281833,Fertility
Cameroon,CMR,6.304527,Fertility
Cameroon,CMR,6.337243,Fertility
Cameroon,CMR,6.393445,Fertility
Cameroon,CMR,6.449446,Fertility
Cameroon,CMR,6.519793,Fertility
Cameroon,CMR,6.562134,Fertility
Cameroon,CMR,6.613389,Fertility
Cameroon,CMR,6.658298,Fertility
Cameroon,CMR,6.636147,Fertility
Cameroon,CMR,6.617123,Fertility
Cameroon,CMR,6.605227,Fertility
Cameroon,CMR,6.58455,Fertility
Cameroon,CMR,6.583685,Fertility
Cameroon,CMR,6.587894,Fertility
Cameroon,CMR,6.563023,Fertility
Cameroon,CMR,6.500352,Fertility
Cameroon,CMR,6.437095,Fertility
Cameroon,CMR,6.391655,Fertility
Cameroon,CMR,6.347136,Fertility
Cameroon,CMR,6.289721,Fertility
Cameroon,CMR,6.193572,Fertility
Cameroon,CMR,6.081949,Fertility
Cameroon,CMR,5.955466,Fertility
Cameroon,CMR,5.827959,Fertility
Cameroon,CMR,5.722879,Fertility
Cameroon,CMR,5.667525,Fertility
Cameroon,CMR,5.628548,Fertility
Cameroon,CMR,5.529549,Fertility
Cameroon,CMR,5.443479,Fertility
Cameroon,CMR,5.457808,Fertility
Cameroon,CMR,5.462596,Fertility
Cameroon,CMR,5.450099,Fertility
Cameroon,CMR,5.407359,Fertility
Cameroon,CMR,5.353566,Fertility
Cameroon,CMR,5.331136,Fertility
Cameroon,CMR,5.277549,Fertility
Cameroon,CMR,5.226631,Fertility
Cameroon,CMR,5.160072,Fertility
Cameroon,CMR,5.058444,Fertility
Cameroon,CMR,4.988868,Fertility
Cameroon,CMR,4.914011,Fertility
Cameroon,CMR,4.854507,Fertility
Cameroon,CMR,4.832377,Fertility
Cameroon,CMR,4.817669,Fertility
Cameroon,CMR,4.773638,Fertility
Cameroon,CMR,4.693819,Fertility
Cameroon,CMR,4.622592,Fertility
Cameroon,CMR,4.543228,Fertility
Cameroon,CMR,4.463343,Fertility
Cameroon,CMR,4.3831,Fertility
Cameroon,CMR,4.301581,Fertility
Cabo Verde,CPV,6.497137,Fertility
Cabo Verde,CPV,6.513087,Fertility
Cabo Verde,CPV,6.546328,Fertility
Cabo Verde,CPV,6.58225,Fertility
Cabo Verde,CPV,6.620854,Fertility
Cabo Verde,CPV,6.662051,Fertility
Cabo Verde,CPV,6.705524,Fertility
Cabo Verde,CPV,6.750756,Fertility
Cabo Verde,CPV,6.796799,Fertility
Cabo Verde,CPV,6.842041,Fertility
Cabo Verde,CPV,6.88456,Fertility
Cabo Verde,CPV,6.922296,Fertility
Cabo Verde,CPV,6.953148,Fertility
Cabo Verde,CPV,6.97555,Fertility
Cabo Verde,CPV,6.988844,Fertility
Cabo Verde,CPV,6.993358,Fertility
Cabo Verde,CPV,6.990362,Fertility
Cabo Verde,CPV,6.981906,Fertility
Cabo Verde,CPV,6.969537,Fertility
Cabo Verde,CPV,6.953684,Fertility
Cabo Verde,CPV,6.934753,Fertility
