Location,Age,Value
Algeria,0,4699072.5
Algeria,5,4870778.5
Algeria,10,4316885.5
Algeria,15,3435363.0
Algeria,20,2848422.0
Algeria,25,3148177.0
Algeria,30,3520865.5
Algeria,35,3652906.0
Algeria,40,3381391.5
Algeria,45,2815291.5
Algeria,50,2386358.0
Algeria,55,1979831.0
Algeria,60,1537235.0
Algeria,65,1198099.0
Algeria,70,852050.5
Algeria,75,480951.0
Algeria,80,295352.5
Algeria,85,140444.0
Algeria,90,40840.5
Algeria,95,5757.0
Algeria,100,409.0
Angola,0,6239216.0
Angola,5,5476970.0
Angola,10,4721507.0
Angola,15,3894730.5
Angola,20,3146757.0
Angola,25,2663179.0
Angola,30,2329881.0
Angola,35,1976490.5
Angola,40,1587606.5
Angola,45,1256265.5
Angola,50,998228.0
Angola,55,810975.0
Angola,60,619619.5
Angola,65,428082.5
Angola,70,263248.0
Angola,75,155406.0
Angola,80,79108.5
Angola,85,29256.0
Angola,90,6603.5
Angola,95,946.5
Angola,100,126.0
Botswana,0,294924.0
Botswana,5,290278.0
Botswana,10,276680.0
Botswana,15,253548.5
Botswana,20,229497.0
Botswana,25,221506.5
Botswana,30,220462.0
Botswana,35,212543.0
Botswana,40,185989.0
Botswana,45,141275.5
Botswana,50,103593.0
Botswana,55,82138.0
Botswana,60,62135.0
Botswana,65,44404.0
Botswana,70,27655.0
Botswana,75,15128.5
Botswana,80,8414.0
Botswana,85,3720.5
Botswana,90,1173.5
Botswana,95,251.5
Botswana,100,36.0
Burundi,0,2084198.0
Burundi,5,2014346.0
Burundi,10,1878952.5
Burundi,15,1484006.5
Burundi,20,1087853.0
Burundi,25,881185.0
Burundi,30,863554.5
Burundi,35,796079.0
Burundi,40,652036.0
Burundi,45,442789.5
Burundi,50,316199.5
Burundi,55,228962.5
Burundi,60,178652.5
Burundi,65,142505.5
Burundi,70,97787.0
Burundi,75,52875.5
Burundi,80,25807.5
Burundi,85,8701.5
Burundi,90,1857.0
Burundi,95,202.5
Burundi,100,8.0
Cameroon,0,4457692.5
Cameroon,5,4017303.0
Cameroon,10,3543360.5
Cameroon,15,3081510.0
Cameroon,20,2590369.0
Cameroon,25,2238480.5
Cameroon,30,1989484.5
Cameroon,35,1677617.0
Cameroon,40,1351393.0
Cameroon,45,1044851.5
Cameroon,50,819710.0
Cameroon,55,622739.0
Cameroon,60,453259.5
Cameroon,65,313924.0
Cameroon,70,205358.0
Cameroon,75,134785.5
Cameroon,80,69988.0
Cameroon,85,26941.0
Cameroon,90,7202.0
Cameroon,95,1212.5
Cameroon,100,112.0
Cabo Verde,0,49092.5
Cabo Verde,5,51704.5
Cabo Verde,10,53292.0
Cabo Verde,15,53091.0
Cabo Verde,20,53301.5
Cabo Verde,25,57321.5
Cabo Verde,30,56724.0
Cabo Verde,35,49420.5
Cabo Verde,40,40024.0
Cabo Verde,45,30685.5
Cabo Verde,50,25886.0
Cabo Verde,55,24124.0
Cabo Verde,60,19689.5
Cabo Verde,65,13707.5
Cabo Verde,70,7896.0
Cabo Verde,75,4628.5
Cabo Verde,80,4021.5
Cabo Verde,85,2760.0
Cabo Verde,90,1064.0
Cabo Verde,95,225.0
Cabo Verde,100,23.0
Central African Republic,0,1045362.0
Central African Republic,5,879808.0
Central African Republic,10,821717.0
Central African Republic,15,705778.5
Central African Republic,20,573552.0
Central African Republic,25,419767.0
Central African Republic,30,294722.5
Central African Republic,35,222587.0
Central African Republic,40,173204.5
Central African Republic,45,135048.0
Central African Republic,50,125335.0
Central African Republic,55,109818.5
Central African Republic,60,90662.5
Central African Republic,65,67809.0
Central African Republic,70,43257.5
Central African Republic,75,20974.0
Central African Republic,80,9242.5
Central African Republic,85,3006.0
Central African Republic,90,622.0
Central African Republic,95,41.0
Central African Republic,100,1.0
Chad,0,3393773.5
Chad,5,2847489.0
Chad,10,2414097.5
Chad,15,1992210.0
Chad,20,1611984.0
Chad,25,1325261.0
Chad,30,1080741.5
Chad,35,860129.0
Chad,40,695845.5
Chad,45,603361.5
Chad,50,477381.5
Chad,55,354719.5
Chad,60,254915.5
Chad,65,170968.5
Chad,70,103607.5
Chad,75,55593.0
Chad,80,25886.5
Chad,85,8562.5
Chad,90,1795.0
Chad,95,225.0
Chad,100,20.5
Comoros,0,114563.0
Comoros,5,109035.0
Comoros,10,98160.0
Comoros,15,82220.0
Comoros,20,74258.5
Comoros,25,68371.0
Comoros,30,60334.0
Comoros,35,53421.0
Comoros,40,44488.0
Comoros,45,35624.5
Comoros,50,29874.5
Comoros,55,25352.5
Comoros,60,19775.0
Comoros,65,13892.0
Comoros,70,11270.0
Comoros,75,6365.0
Comoros,80,3682.5
Comoros,85,1069.5
Comoros,90,290.0
Comoros,95,28.0
Comoros,100,1.0
Mayotte,0,53670.0
Mayotte,5,51005.0
Mayotte,10,42285.0
Mayotte,15,35562.5
Mayotte,20,23920.0
Mayotte,25,21112.5
Mayotte,30,22899.5
Mayotte,35,19036.0
Mayotte,40,16512.0
Mayotte,45,14120.5
Mayotte,50,11516.0
Mayotte,55,8370.5
Mayotte,60,6057.5
Mayotte,65,4121.5
Mayotte,70,2869.0
Mayotte,75,1521.0
Mayotte,80,834.0
Mayotte,85,406.0
Mayotte,90,145.5
Mayotte,95,29.0
Mayotte,100,2.0
Congo,0,856993.5
Congo,5,828728.5
Congo,10,794257.0
Congo,15,644687.0
Congo,20,520440.5
Congo,25,438300.0
Congo,30,394021.0
Congo,35,366673.5
Congo,40,319190.0
Congo,45,272809.5
Congo,50,215529.5
Congo,55,166790.5
Congo,60,118722.0
Congo,65,77999.0
Congo,70,46596.5
Congo,75,25947.0
Congo,80,12808.5
Congo,85,4950.0
Congo,90,1240.0
Congo,95,178.0
Congo,100,7.5
Dem. Rep. of the Congo,0,18700317.5
Dem. Rep. of the Congo,5,15722447.0
Dem. Rep. of the Congo,10,13134599.5
Dem. Rep. of the Congo,15,10679977.5
Dem. Rep. of the Congo,20,8795420.5
Dem. Rep. of the Congo,25,7502070.0
Dem. Rep. of the Congo,30,6113024.5
Dem. Rep. of the Congo,35,5016864.5
Dem. Rep. of the Congo,40,3931720.0
Dem. Rep. of the Congo,45,3162674.5
Dem. Rep. of the Congo,50,2692076.5
Dem. Rep. of the Congo,55,2179661.5
Dem. Rep. of the Congo,60,1676429.0
Dem. Rep. of the Congo,65,1229016.5
Dem. Rep. of the Congo,70,833995.0
Dem. Rep. of the Congo,75,533323.5
Dem. Rep. of the Congo,80,254811.0
Dem. Rep. of the Congo,85,84184.5
Dem. Rep. of the Congo,90,18012.5
Dem. Rep. of the Congo,95,2090.5
Dem. Rep. of the Congo,100,92.5
Benin,0,2205732.5
Benin,5,1939844.5
Benin,10,1650939.5
Benin,15,1438285.0
Benin,20,1221468.0
Benin,25,1065618.0
Benin,30,897921.5
Benin,35,757192.0
Benin,40,622607.0
Benin,45,499988.0
Benin,50,410901.5
Benin,55,330796.0
Benin,60,250926.0
Benin,65,176977.0
Benin,70,115064.5
Benin,75,74614.5
Benin,80,37587.0
Benin,85,12873.0
Benin,90,3044.5
Benin,95,418.0
Benin,100,30.0
Equatorial Guinea,0,233331.0
Equatorial Guinea,5,218334.5
Equatorial Guinea,10,202011.0
Equatorial Guinea,15,161147.5
Equatorial Guinea,20,123961.0
Equatorial Guinea,25,132613.0
Equatorial Guinea,30,141685.0
Equatorial Guinea,35,130348.5
Equatorial Guinea,40,97589.0
Equatorial Guinea,45,76168.5
Equatorial Guinea,50,59967.5
Equatorial Guinea,55,47972.5
Equatorial Guinea,60,36078.0
Equatorial Guinea,65,23253.0
