AgeStart,Africa,Asia,Europe,South America,North America,Oceania
0,213.28,336.07,34.8,48.37,20.68,3.44
5,194.01,371.77,39.79,51.43,22.27,3.47
10,175.19,376.53,41.17,52.47,23.14,3.43
15,152.38,363.53,39.4,52.76,24.49,3.25
20,129.99,357.07,38.89,53.49,24.72,3.21
25,112.42,355.92,41.67,53.31,25.19,3.41
30,99.15,372.37,49.07,52.01,26.61,3.45
35,86.93,358.87,52.95,49.86,25.54,3.24
40,72.96,323.32,52.6,46.5,24.8,2.91
45,58.31,297.38,51.51,41.95,22.78,2.63
50,47.32,299.85,51.37,37.58,23.64,2.6
55,38.03,266.22,50.85,33.66,23.58,2.33
60,29.32,202.3,49.81,28.69,24.06,2.19
65,21.48,176.41,44.09,22.72,21.7,1.84
70,14.49,131.24,37.46,16.92,17.22,1.53
75,8.71,79.18,27.01,11.32,12.88,1.19
80,4.28,48.13,20.19,6.98,7.94,0.75
85,1.66,25.11,12.66,3.4,4.62,0.43
90,0.46,9.3,5.4,1.22,2.31,0.2
95,0.09,2.21,1.42,0.3,0.62,0.06
100,0.01,0.31,0.18,0.05,0.12,0.01
