AgeStart,Africa,Asia,Europe,South America,North America,Oceania,World
0,44.49,65.56,6.78,9.49,4.12,0.69,131.13
1,43.4,65.47,6.83,9.53,4.11,0.69,130.03
2,42.58,66.25,6.89,9.63,4.09,0.69,130.11
3,41.79,68.34,7.03,9.78,4.13,0.69,131.76
4,41.02,70.46,7.27,9.95,4.23,0.69,133.62
5,40.22,72.71,7.56,10.1,4.31,0.69,135.58
6,39.45,74.49,7.87,10.19,4.41,0.69,137.1
7,38.8,74.4,8.07,10.31,4.49,0.7,136.77
8,38.15,74.7,8.14,10.41,4.53,0.7,136.62
9,37.4,75.47,8.15,10.41,4.53,0.69,136.66
10,36.65,76.1,8.22,10.43,4.53,0.69,136.61
11,35.9,75.84,8.26,10.49,4.55,0.69,135.72
12,35.1,75.0,8.2,10.52,4.59,0.69,134.1
13,34.22,74.95,8.22,10.52,4.68,0.68,133.26
14,33.33,74.66,8.27,10.51,4.8,0.68,132.25
15,32.41,73.98,8.17,10.51,4.92,0.67,130.65
16,31.43,73.12,7.95,10.54,4.95,0.66,128.65
17,30.48,72.44,7.8,10.56,4.9,0.65,126.83
18,29.51,72.15,7.76,10.58,4.86,0.64,125.49
19,28.56,71.83,7.73,10.57,4.87,0.63,124.21
20,27.67,71.62,7.68,10.6,4.88,0.63,123.09
21,26.83,71.68,7.66,10.67,4.9,0.63,122.37
22,25.99,71.85,7.78,10.72,4.98,0.64,121.95
23,25.16,71.31,7.86,10.74,5.0,0.65,120.73
24,24.35,70.61,7.91,10.75,4.97,0.66,119.25
25,23.63,70.69,8.01,10.73,4.95,0.66,118.68
26,23.06,70.89,8.15,10.69,4.96,0.67,118.43
27,22.51,71.21,8.31,10.67,5.02,0.68,118.4
28,21.89,71.5,8.49,10.64,5.09,0.7,118.31
29,21.32,71.62,8.7,10.58,5.17,0.7,118.1
30,20.82,71.93,9.05,10.51,5.25,0.7,118.26
31,20.3,72.75,9.48,10.46,5.35,0.69,119.04
32,19.79,75.43,9.93,10.42,5.39,0.69,121.65
33,19.34,76.83,10.22,10.35,5.36,0.69,122.79
34,18.9,75.43,10.39,10.27,5.26,0.68,120.93
35,18.43,74.93,10.55,10.18,5.16,0.67,119.92
36,17.94,74.21,10.61,10.08,5.13,0.66,118.62
37,17.41,71.98,10.61,9.98,5.13,0.65,115.76
38,16.85,69.81,10.58,9.87,5.09,0.64,112.84
39,16.29,67.94,10.6,9.75,5.03,0.63,110.24
40,15.74,67.73,10.59,9.63,5.0,0.62,109.31
41,15.18,67.19,10.49,9.48,5.0,0.6,107.94
42,14.62,64.84,10.57,9.31,5.02,0.58,104.94
43,14.03,62.85,10.56,9.13,4.96,0.56,102.1
44,13.4,60.71,10.38,8.96,4.82,0.55,98.81
45,12.77,59.02,10.3,8.77,4.67,0.53,96.07
46,12.17,58.82,10.28,8.58,4.56,0.53,94.95
47,11.62,59.05,10.34,8.39,4.52,0.52,94.43
48,11.11,59.71,10.34,8.19,4.53,0.52,94.39
49,10.64,60.79,10.24,8.02,4.5,0.52,94.72
50,10.23,60.89,10.24,7.87,4.49,0.53,94.24
51,9.85,60.55,10.32,7.7,4.66,0.53,93.61
52,9.46,60.46,10.34,7.52,4.89,0.53,93.2
53,9.08,59.55,10.27,7.33,4.88,0.51,91.63
54,8.7,58.39,10.2,7.17,4.72,0.5,89.67
55,8.33,55.76,10.17,7.02,4.57,0.48,86.34
56,7.97,53.19,10.12,6.89,4.55,0.47,83.18
57,7.6,52.92,10.13,6.74,4.68,0.46,82.54
58,7.24,52.19,10.2,6.59,4.85,0.46,81.54
59,6.89,52.16,10.23,6.42,4.92,0.46,81.08
60,6.55,49.59,10.15,6.21,4.84,0.46,77.8
61,6.2,41.97,10.09,5.98,4.82,0.45,69.52
62,5.86,37.34,10.08,5.74,4.88,0.44,64.34
63,5.52,36.6,9.89,5.5,4.82,0.43,62.76
64,5.2,36.79,9.59,5.26,4.71,0.41,61.95
65,4.88,37.93,9.35,5.02,4.56,0.4,62.13
66,4.58,36.91,9.09,4.78,4.44,0.38,60.18
67,4.29,35.25,8.83,4.54,4.37,0.37,57.66
68,4.0,34.16,8.59,4.31,4.26,0.35,55.66
69,3.73,32.17,8.23,4.07,4.07,0.34,52.6
70,3.45,30.6,7.93,3.84,3.78,0.33,49.92
71,3.17,28.44,7.7,3.62,3.86,0.32,47.11
72,2.9,26.18,7.48,3.39,3.57,0.31,43.82
73,2.61,24.27,7.33,3.16,2.99,0.29,40.65
74,2.37,21.75,7.02,2.91,3.02,0.28,37.35
75,2.17,19.58,6.62,2.67,3.06,0.28,34.38
76,1.96,17.48,6.16,2.45,2.99,0.26,31.31
77,1.74,15.43,5.26,2.25,2.57,0.24,27.48
78,1.52,13.93,4.58,2.06,2.16,0.21,24.46
79,1.32,12.75,4.39,1.89,2.1,0.19,22.64
80,1.15,11.7,4.16,1.72,1.97,0.18,20.87
81,0.99,10.77,4.14,1.55,1.72,0.16,19.33
82,0.84,9.71,4.18,1.39,1.55,0.15,17.83
83,0.71,8.49,4.02,1.23,1.42,0.14,16.01
84,0.6,7.47,3.7,1.08,1.28,0.12,14.24
85,0.49,6.64,3.34,0.93,1.14,0.11,12.65
86,0.4,5.8,2.93,0.79,1.03,0.1,11.05
87,0.32,4.98,2.51,0.67,0.92,0.09,9.48
88,0.25,4.2,2.12,0.55,0.8,0.07,7.99
89,0.2,3.49,1.76,0.45,0.73,0.06,6.7
90,0.15,2.84,1.5,0.37,0.64,0.05,5.56
91,0.12,2.25,1.29,0.3,0.55,0.05,4.54
92,0.09,1.78,1.08,0.23,0.46,0.04,3.67
93,0.06,1.38,0.87,0.18,0.38,0.03,2.9
94,0.05,1.05,0.67,0.14,0.29,0.03,2.21
95,0.03,0.78,0.5,0.1,0.2,0.02,1.64
96,0.02,0.57,0.37,0.08,0.16,0.02,1.2
97,0.02,0.4,0.26,0.05,0.11,0.01,0.86
98,0.01,0.28,0.18,0.04,0.08,0.01,0.59
99,0.01,0.18,0.12,0.03,0.06,0.01,0.4
100,0.01,0.31,0.18,0.05,0.12,0.01,0.68
