Location,Year,Alcohol,Tobacco,Lifeexpectancy,Population,Continent
Kuwait,2019,0.0,23.8,79.7,4441105.0,Asia
Kuwait,2019,0.0,23.8,79.7,4441105.0,Asia
Kuwait,2019,0.0,17.8,79.7,4441105.0,Asia
Mauritania,2019,0.0,10.0,65.7,4383853.0,Africa
Mauritania,2019,0.0,8.2,65.7,4383853.0,Africa
Mauritania,2019,0.0,7.4,65.7,4383853.0,Africa
Saudi Arabia,2019,0.0,18.0,77.3,35827364.0,Asia
Saudi Arabia,2019,0.0,16.7,77.3,35827364.0,Asia
Saudi Arabia,2019,0.0,12.7,77.3,35827364.0,Asia
Somalia,2019,0.0,,57.1,15981312.0,Africa
Afghanistan,2019,0.0,23.1,63.6,37769496.0,Asia
Afghanistan,2019,0.0,9.9,63.6,37769496.0,Asia
Afghanistan,2019,0.0,8.1,63.6,37769496.0,Asia
Bangladesh,2019,0.0,32.3,72.8,165516224.0,Asia
Bangladesh,2019,0.0,17.7,72.8,165516224.0,Asia
Bangladesh,2019,0.0,13.8,72.8,165516224.0,Asia
Libya,2019,0.0,,72.5,6569085.0,Africa
Sudan,2019,0.0,,65.9,43232092.0,Africa
Yemen,2019,0.0,21.2,65.1,31546694.0,Asia
Yemen,2019,0.0,17.1,65.1,31546694.0,Asia
Yemen,2019,0.0,12.0,65.1,31546694.0,Asia
Indonesia,2019,0.1,38.1,70.5,269582880.0,Asia
Indonesia,2019,0.1,36.4,70.5,269582880.0,Asia
Indonesia,2019,0.1,32.7,70.5,269582880.0,Asia
Niger,2019,0.1,7.8,62.9,23443400.0,Africa
Niger,2019,0.1,6.5,62.9,23443400.0,Africa
Niger,2019,0.1,5.5,62.9,23443400.0,Africa
Pakistan,2019,0.1,18.1,66.8,223293280.0,Asia
Pakistan,2019,0.1,12.6,66.8,223293280.0,Asia
Pakistan,2019,0.1,10.0,66.8,223293280.0,Asia
Egypt,2019,0.1,24.1,71.4,105618672.0,Africa
Egypt,2019,0.1,24.1,71.4,105618672.0,Africa
Egypt,2019,0.1,18.7,71.4,105618672.0,Africa
Syrian Arab Republic,2019,0.2,,,,
Bhutan,2019,0.2,20.7,71.4,767467.0,Asia
Bhutan,2019,0.2,7.4,71.4,767467.0,Asia
Bhutan,2019,0.2,5.3,71.4,767467.0,Asia
Iraq,2019,0.2,18.5,71.6,41563524.0,Asia
Iraq,2019,0.2,18.5,71.6,41563524.0,Asia
Iraq,2019,0.2,13.9,71.6,41563524.0,Asia
Comoros,2019,0.3,17.4,64.1,790993.0,Africa
Comoros,2019,0.3,12.3,64.1,790993.0,Africa
Comoros,2019,0.3,9.8,64.1,790993.0,Africa
Sierra Leone,2019,0.3,12.6,60.3,8046830.0,Africa
Sierra Leone,2019,0.3,11.1,60.3,8046830.0,Africa
Sierra Leone,2019,0.3,9.7,60.3,8046830.0,Africa
Jordan,2019,0.3,36.1,76.0,10698682.0,Asia
Jordan,2019,0.3,36.1,76.0,10698682.0,Asia
Jordan,2019,0.3,28.0,76.0,10698682.0,Asia
Timor-Leste,2019,0.4,38.5,,,
Timor-Leste,2019,0.4,31.6,,,
Timor-Leste,2019,0.4,31.2,,,
Djibouti,2019,0.4,,63.1,1073999.0,Africa
Senegal,2019,0.4,6.4,68.5,16000783.0,Africa
Senegal,2019,0.4,6.2,68.5,16000783.0,Africa
Senegal,2019,0.4,5.2,68.5,16000783.0,Africa
Tonga,2019,0.4,30.8,70.9,104965.0,Oceania
Tonga,2019,0.4,30.8,70.9,104965.0,Oceania
Tonga,2019,0.4,26.6,70.9,104965.0,Oceania
Brunei Darussalam,2019,0.4,17.3,,,
Brunei Darussalam,2019,0.4,17.3,,,
Brunei Darussalam,2019,0.4,14.5,,,
Guinea,2019,0.5,,59.7,12877537.0,Africa
