location,cause,year,val
Thailand,Homicides & suicides,1990,28.548469893062418
Argentina,Diabetes,1990,42.960855669760186
Brunei Darussalam,Neoplasms,1990,82.44703396271443
Montenegro,Neurological disorders,1990,24.83088104734244
Timor-Leste,Tropical diseases,1990,46.415684331181126
Greece,Neoplasms,1990,228.3648036513876
Guyana,Transport injuries,1990,20.99947027604228
Guyana,Postpartum disorders,1990,84.63268179795692
Guyana,Diabetes,1990,54.95141988843257
Timor-Leste,Cardiovascular diseases,1990,79.80924613494841
Chile,Neoplasms,1990,124.90261051001052
Montenegro,Homicides & suicides,1990,21.098925313078357
Bangladesh,Chronic respiratory diseases,1990,56.06083285386855
Djibouti,Tropical diseases,1990,32.38727977061252
Greece,Neurological disorders,1990,34.51141873409895
Timor-Leste,Chronic respiratory diseases,1990,31.201294104768483
Liberia,Tropical diseases,1990,218.62955009257064
Lesotho,Chronic respiratory diseases,1990,55.32046864377244
Kuwait,Transport injuries,1990,24.48461073925385
Georgia,Chronic respiratory diseases,1990,21.71788128750785
Haiti,Neoplasms,1990,91.82585673135031
Timor-Leste,Unintentional injuries,1990,31.68146423718365
Georgia,Transport injuries,1990,24.779432703867077
Georgia,Unintentional injuries,1990,30.80755310857309
Lesotho,Digestive diseases,1990,35.43808674623829
Lesotho,Transport injuries,1990,26.760167919021004
Djibouti,Unintentional injuries,1990,20.155701854346
Mexico,Neoplasms,1990,55.06988245028396
Azerbaijan,Postpartum disorders,1990,43.13800085623485
Thailand,Postpartum disorders,1990,21.137790375267805
Thailand,Diabetes,1990,32.731784457837946
Liberia,Chronic respiratory diseases,1990,22.230996489296693
Liberia,Digestive diseases,1990,56.172281411568726
United States Virgin Islands,Digestive diseases,1990,30.88083990780293
Bangladesh,Unintentional injuries,1990,43.59568582306567
Brunei Darussalam,Chronic respiratory diseases,1990,28.047355314816443
Japan,Chronic respiratory diseases,1990,23.725350643996023
Iceland,Chronic respiratory diseases,1990,27.369312573415304
Poland,Chronic respiratory diseases,1990,38.20788369366176
Greece,Cardiovascular diseases,1990,439.65285445908864
Lesotho,Unintentional injuries,1990,28.72039780753269
Liberia,Unintentional injuries,1990,41.68716962318445
Timor-Leste,Neoplasms,1990,37.57211695447628
Haiti,STD,1990,55.61552345172851
Montenegro,Diabetes,1990,24.68339061102153
Georgia,Neoplasms,1990,148.1436155298209
Lebanon,Respiratory infections,1990,22.688212556057824
Lebanon,Other infectious diseases,1990,26.60466560519108
Lebanon,Postpartum disorders,1990,51.62073639045102
Japan,Digestive diseases,1990,33.1478483678739
China,Chronic respiratory diseases,1990,109.93021264400036
Uruguay,Digestive diseases,1990,42.03829309832798
Uruguay,Unintentional injuries,1990,34.25375899214463
Mexico,Respiratory infections,1990,45.96034980350044
Mexico,Enteric infections,1990,32.56388631493553
Greece,Chronic respiratory diseases,1990,25.28225996533467
Greece,Transport injuries,1990,22.964332246177804
United States Virgin Islands,Homicides & suicides,1990,40.27136028786093
Bhutan,Other non-communicable diseases,1990,28.595504430109216
Viet Nam,Respiratory infections,1990,82.31522452276613
Poland,Transport injuries,1990,24.442670557843744
Bermuda,Digestive diseases,1990,32.72473172059119
Namibia,Cardiovascular diseases,1990,158.94163462534476
Eritrea,Other non-communicable diseases,1990,29.516811950215025
China,Transport injuries,1990,20.886323192763
China,Unintentional injuries,1990,31.591011179786086
Mali,Cardiovascular diseases,1990,124.7965729427412
