0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,+100,Year
131236562,10586680,6039658,7115380,8632004,8380599,7846525,8256799,8995578,9513761,10867750,12037342,14875020,16053200,16281318,14916013,10699920,5642207,1902902,389107,50727,1950
131613485,10538638,5876930,6891411,8227499,7993104,7555673,7976086,8788232,9513761,10867750,12037342,14875020,16053200,16281318,14916013,10699920,5642207,1902902,389107,50727,1951
131970814,10146495,5633826,6537144,7666247,7483857,7145268,7554134,8431858,9260972,10660484,11838697,14469677,15843890,15995006,14567502,10475314,5467727,1838145,364733,51337,1952
131497158,10774847,5485130,6418557,7513632,7389844,7072718,7374801,8313820,9195343,10626224,11837815,14241306,15929992,16059029,14526862,10591019,5478151,1845723,360804,50921,1953
131580058,10259712,5300777,6205380,7287347,7219091,6946939,7138748,8128446,9073815,10570797,11741843,13992533,15902453,15967556,14267386,10498592,5383102,1825930,355079,48234,1954
130912862,10395309,5239379,6115784,7219345,7176302,6934790,7070078,8065045,9074078,10649056,11834122,14072247,16014865,16126679,14342770,10595496,5451635,1840058,361664,44862,1955
129245894,10564285,5197690,6010980,7162369,7124543,6912380,7034331,7980437,9035944,10692764,11950463,14222384,16038718,16323191,14532145,10809280,5540058,1876119,375568,44013,1956
130089322,10912117,5274756,5963337,7166955,7132738,6964392,7080438,7962876,9090340,10852673,12191245,14559783,16193169,16700165,14689708,10856448,5585072,1873864,380311,44678,1957
128176012,11207938,5324474,5857306,7113660,7083654,6962904,7082731,7836308,9012774,10834538,12188550,14581820,15905050,16712380,14614019,10784681,5589470,1860863,380735,45396,1958
140002575,13776673,6544149,6334351,7604828,7623653,7545467,7737971,8426327,9787090,11792548,13357645,15792577,16978919,17966556,15501264,11115487,5808429,1957125,426225,52593,1959
148197777,16605609,7845518,6816987,8041617,8125970,8073730,8348353,9003720,10475907,12613007,14353522,16796207,17947274,18814830,16169227,11448737,5963602,2021655,431572,56341,1960
131383746,14009801,6909066,6320799,7497563,7624014,7596513,7828450,8404189,9711904,11786547,13509222,15953723,17100433,17826405,15536591,11148295,5902335,1992799,422219,57587,1961
121422604,11052810,5722581,5781776,6856651,7041386,7031170,7268293,7779251,8897582,10971337,12702874,15231434,16483134,17176138,15450660,11258393,6085186,2059415,434811,60881,1962
125512683,11002999,5851465,5869300,6776062,7037154,7033196,7337657,7867357,8827878,10978916,12803347,15425115,16755057,17177648,15798124,11400251,6151049,2094707,432543,60565,1963
125238551,10672780,5872349,5943699,6660759,6948313,6971761,7320998,7896147,8676735,10915642,12796336,15531079,16812879,17062440,15886301,11362278,6068613,2076943,426371,59541,1964
127750727,11099503,6235461,6332343,6993367,7274178,7273849,7645606,8212071,8913867,11198472,13201773,16074972,17447116,17619592,16469076,11822089,6340766,2193845,452386,61822,1965
125892655,10771803,6228970,6337317,6705062,6941147,7057501,7494456,8102488,8811840,11028643,13146001,16124754,17618034,17841038,16525603,12020831,6430209,2254840,469063,62731,1966
124138212,10682034,6096468,6331106,6636149,6739324,6931154,7382816,8073597,8828025,10921708,13213507,16331745,17966083,18266251,16663316,12360469,6569535,2328042,486092,64230,1967
122169735,10679306,5865049,6328192,6599350,6519294,6788888,7249195,8026399,8848412,10762243,13257042,16536197,18349606,18808910,16928962,12962769,6873350,2448306,515557,66627,1968
121545982,11005385,5737805,6359265,6668319,6371506,6692372,7166389,8037785,8960583,10677074,13380967,16854669,18893029,19370217,17165593,13260713,7003211,2491294,529121,69238,1969
121432968,11714920,5832403,6522446,6862787,6337358,6656265,7138480,8081697,9052546,10675683,13397520,16992565,19107992,19638597,17357178,13455483,7156410,2566573,547487,72229,1970
121911936,12125443,5788404,7055475,7898619,7151341,7195410,7613229,8529682,9518269,11095450,13666082,17388838,19583405,20182299,17836630,13663868,7400724,2658930,578295,75755,1971
117163643,11403528,5475062,6520620,7091208,6244359,6368067,6957526,7968012,9076865,10721006,13061185,16972572,19315768,20104150,17950728,13651142,7592672,2732457,608542,79643,1972
115025878,11138647,5476150,6466120,7158474,6245351,6175868,6844211,7850067,9058199,10751974,12788173,16866449,19336050,20299174,18315551,13820554,7939698,2864108,644912,85661,1973
113066576,11003959,5602975,6443964,7251326,6350804,6057886,6782690,7792927,9092687,10884514,12597164,16851803,19453346,20592398,18578103,13922779,8145472,2965008,669590,90218,1974
110552799,10979035,5754625,6549201,7577753,6661608,6097374,6832340,7839795,9227358,11047527,12635237,16896259,19681250,20973821,19078476,14283951,8371619,3097962,707148,98504,1975
107456362,10899006,6058506,6595346,7547443,6754548,6040804,6760091,7801035,9234958,11111644,12700387,16780556,19781922,21245071,19532210,14688719,8630107,3276767,757475,107015,1976
