name,code,perc
Algeria,DZA,0.03256344
Angola,AGO,0.12238507
Botswana,BWA,0.05733011
Burundi,BDI,0.09530244
Cameroon,CMR,0.08940406
Cabo Verde,CPV,0.03076498
Central African Republic,CAF,0.11102467
Chad,TCD,0.11069765
Comoros,COM,0.07315075
Mayotte,MYT,0.00882721
Congo,COG,0.07308028
Dem. Rep. of the Congo,COD,0.09732004
Benin,BEN,0.08498589
Equatorial Guinea,GNQ,0.10641996
Ethiopia,ETH,0.08723816
Eritrea,ERI,0.058107
Djibouti,DJI,0.06506525
Gabon,GAB,0.05467335
Gambia,GMB,0.06211574
Ghana,GHA,0.06434663
Guinea,GIN,0.10441378
Côte d'Ivoire,CIV,0.09933584
Kenya,KEN,0.06359538
Lesotho,LSO,0.08113167
Liberia,LBR,0.12983173
Libya,LBY,0.0236924
Madagascar,MDG,0.06776026
Malawi,MWI,0.10516373
Mali,MLI,0.10284949
Mauritania,MRT,0.0684728
Mauritius,MUS,0.01584184
Morocco,MAR,0.04127957
Mozambique,MOZ,0.1158534
Namibia,NAM,0.04977656
Niger,NER,0.09924609
Nigeria,NGA,0.11091692
Guinea-Bissau,GNB,0.10432759
Réunion,REU,0.00665025
Rwanda,RWA,0.11063599
Saint Helena,SHN,0.01416136
Sao Tome and Principe,STP,0.055075
Senegal,SEN,0.06922783
Seychelles,SYC,0.0116953
Sierra Leone,SLE,0.1392161
Somalia,SOM,0.1045523
South Africa,ZAF,0.04577105
Zimbabwe,ZWE,0.05987621
South Sudan,SSD,0.10964027
Sudan,SDN,0.0673891
Western Sahara,ESH,0.05832233
Eswatini,SWZ,0.07776421
Togo,TGO,0.0774562
Tunisia,TUN,0.02473827
Uganda,UGA,0.0896007
Egypt,EGY,0.03738394
United Republic of Tanzania,TZA,0.08156956
Burkina Faso,BFA,0.09205037
Zambia,ZMB,0.09354035
American Samoa,ASM,0.01204773
Antigua and Barbuda,ATG,0.01250654
Argentina,ARG,0.01817971
Australia,AUS,0.00508368
Bahamas,BHS,0.01395641
Barbados,BRB,0.01367571
Bermuda,BMU,0.00312766
Bolivia (Plurinational State of),BOL,0.05864824
Brazil,BRA,0.02998854
Belize,BLZ,0.01993838
Solomon Islands,SLB,0.02532194
British Virgin Islands,VGB,0.01920005
Canada,CAN,0.00510703
Cayman Islands,CYM,0.01141278
Chile,CHL,0.00958934
Colombia,COL,0.02093848
Cook Islands,COK,0.01528514
Costa Rica,CRI,0.01119937
Cuba,CUB,0.00720426
Dominica,DMA,0.01666215
Dominican Republic,DOM,0.0335775
Ecuador,ECU,0.02435005
El Salvador,SLV,0.02714176
Falkland Islands (Malvinas),FLK,0.02411646
Fiji,FJI,0.01883569
French Guiana,GUF,0.01508232
French Polynesia,PYF,0.00882028
Kiribati,KIR,0.051672
Greenland,GRL,0.01468135
Grenada,GRD,0.01269145
Guadeloupe,GLP,0.00976912
Guam,GUM,0.0100884
Guatemala,GTM,0.04097761
Guyana,GUY,0.03667925
Haiti,HTI,0.07442595
Honduras,HND,0.03002182
Jamaica,JAM,0.01864645
Martinique,MTQ,0.00787455
Mexico,MEX,0.02342772
Montserrat,MSR,0.01665952
Nauru,NRU,0.02570386
Curaçao,CUW,0.01509222
Aruba,ABW,0.01820181
Sint Maarten (Dutch part),SXM,0.0160935
"Bonaire, Sint Eustatius and Saba",BES,0.0153772
New Caledonia,NCL,0.01882141
Vanuatu,VUT,0.02352913
New Zealand,NZL,0.00614326
Nicaragua,NIC,0.03112371
Niue,NIU,0.02643357
Northern Mariana Islands,MNP,0.00544127
Micronesia (Fed. States of),FSM,0.03106118
Marshall Islands,MHL,0.03399297
Palau,PLW,0.02545772
Panama,PAN,0.0219433
Papua New Guinea,PNG,0.053911
Paraguay,PRY,0.02764329
Peru,PER,0.02894511
Puerto Rico,PRI,0.01022091
Saint Barthélemy,BLM,0.01246142
Saint Kitts and Nevis,KNA,0.01680522
Anguilla,AIA,0.01093041
Saint Lucia,LCA,0.01539073
Saint Martin (French part),MAF,0.01246457
Saint Pierre and Miquelon,SPM,0.00990334
Saint Vincent and the Grenadines,VCT,0.01869903
Suriname,SUR,0.02734656
Tokelau,TKL,0.01180204
Tonga,TON,0.01444681
Trinidad and Tobago,TTO,0.02447965
Turks and Caicos Islands,TCA,0.01454078
Tuvalu,TUV,0.03379639
United States of America,USA,0.0071764
United States Virgin Islands,VIR,0.00991993
Uruguay,URY,0.01459708
Venezuela (Bolivarian Republic of),VEN,0.01815312
Wallis and Futuna Islands,WLF,0.01676914
Samoa,WSM,0.01781179
Small island developing States (SIDS),SID,0.0413482
Landlocked developing countries (LLDCs),LLD,0.08376437
Afghanistan,AFG,0.0908133
Azerbaijan,AZE,0.06138168
Bahrain,BHR,0.01066586
Bangladesh,BGD,0.06460686
Armenia,ARM,0.02686265
Bhutan,BTN,0.06071952
Brunei Darussalam,BRN,0.00831503
Myanmar,MMR,0.06589192
