coa_name,Iso3,year,perc
Algeria,DZA,2000,0.03256344
Angola,AGO,2000,0.12238507
Botswana,BWA,2000,0.05733011
Burundi,BDI,2000,0.09530244
Cameroon,CMR,2000,0.08940406
Cabo Verde,CPV,2000,0.03076498
Central African Republic,CAF,2000,0.11102467
Chad,TCD,2000,0.11069765
Comoros,COM,2000,0.07315075
Mayotte,MYT,2000,0.00882721
Congo,COG,2000,0.07308028
Dem. Rep. of the Congo,COD,2000,0.09732004
Benin,BEN,2000,0.08498589
Equatorial Guinea,GNQ,2000,0.10641996
Ethiopia,ETH,2000,0.08723816
Eritrea,ERI,2000,0.058107
Djibouti,DJI,2000,0.06506525
Gabon,GAB,2000,0.05467335
Gambia,GMB,2000,0.06211574
Ghana,GHA,2000,0.06434663
Guinea,GIN,2000,0.10441378
Côte d'Ivoire,CIV,2000,0.09933584
Kenya,KEN,2000,0.06359538
Lesotho,LSO,2000,0.08113167
Liberia,LBR,2000,0.12983173
Libya,LBY,2000,0.0236924
Madagascar,MDG,2000,0.06776026
Malawi,MWI,2000,0.10516373
Mali,MLI,2000,0.10284949
Mauritania,MRT,2000,0.0684728
Mauritius,MUS,2000,0.01584184
Morocco,MAR,2000,0.04127957
Mozambique,MOZ,2000,0.1158534
Namibia,NAM,2000,0.04977656
Niger,NER,2000,0.09924609
Nigeria,NGA,2000,0.11091692
Guinea-Bissau,GNB,2000,0.10432759
Réunion,REU,2000,0.00665025
Rwanda,RWA,2000,0.11063599
Saint Helena,SHN,2000,0.01416136
Sao Tome and Principe,STP,2000,0.055075
Senegal,SEN,2000,0.06922783
Seychelles,SYC,2000,0.0116953
Sierra Leone,SLE,2000,0.1392161
Somalia,SOM,2000,0.1045523
South Africa,ZAF,2000,0.04577105
Zimbabwe,ZWE,2000,0.05987621
South Sudan,SSD,2000,0.10964027
Sudan,SDN,2000,0.0673891
Western Sahara,ESH,2000,0.05832233
Eswatini,SWZ,2000,0.07776421
Togo,TGO,2000,0.0774562
Tunisia,TUN,2000,0.02473827
Uganda,UGA,2000,0.0896007
Egypt,EGY,2000,0.03738394
United Republic of Tanzania,TZA,2000,0.08156956
Burkina Faso,BFA,2000,0.09205037
Zambia,ZMB,2000,0.09354035
American Samoa,ASM,2000,0.01204773
Antigua and Barbuda,ATG,2000,0.01250654
Argentina,ARG,2000,0.01817971
Australia,AUS,2000,0.00508368
Bahamas,BHS,2000,0.01395641
Barbados,BRB,2000,0.01367571
Bermuda,BMU,2000,0.00312766
Bolivia (Plurinational State of),BOL,2000,0.05864824
Brazil,BRA,2000,0.02998854
Belize,BLZ,2000,0.01993838
Solomon Islands,SLB,2000,0.02532194
British Virgin Islands,VGB,2000,0.01920005
Canada,CAN,2000,0.00510703
Cayman Islands,CYM,2000,0.01141278
Chile,CHL,2000,0.00958934
Colombia,COL,2000,0.02093848
Cook Islands,COK,2000,0.01528514
Costa Rica,CRI,2000,0.01119937
Cuba,CUB,2000,0.00720426
Dominica,DMA,2000,0.01666215
Dominican Republic,DOM,2000,0.0335775
Ecuador,ECU,2000,0.02435005
El Salvador,SLV,2000,0.02714176
Falkland Islands (Malvinas),FLK,2000,0.02411646
Fiji,FJI,2000,0.01883569
French Guiana,GUF,2000,0.01508232
French Polynesia,PYF,2000,0.00882028
Kiribati,KIR,2000,0.051672
Greenland,GRL,2000,0.01468135
Grenada,GRD,2000,0.01269145
Guadeloupe,GLP,2000,0.00976912
Guam,GUM,2000,0.0100884
Guatemala,GTM,2000,0.04097761
Guyana,GUY,2000,0.03667925
Haiti,HTI,2000,0.07442595
Honduras,HND,2000,0.03002182
Jamaica,JAM,2000,0.01864645
Martinique,MTQ,2000,0.00787455
Mexico,MEX,2000,0.02342772
Montserrat,MSR,2000,0.01665952
Nauru,NRU,2000,0.02570386
Curaçao,CUW,2000,0.01509222
Aruba,ABW,2000,0.01820181
Sint Maarten (Dutch part),SXM,2000,0.0160935
"Bonaire, Sint Eustatius and Saba",BES,2000,0.0153772
New Caledonia,NCL,2000,0.01882141
Vanuatu,VUT,2000,0.02352913
New Zealand,NZL,2000,0.00614326
Nicaragua,NIC,2000,0.03112371
Niue,NIU,2000,0.02643357
Northern Mariana Islands,MNP,2000,0.00544127
Micronesia (Fed. States of),FSM,2000,0.03106118
