Period,Dim3,Value
2021,Tuberculosis,0.0
2021,Measles,0.0
2021,Malaria,0.7
2021,Injuries,13017.6
2021,Meningitis/encephalitis,17140.0
2021,Sepsis and other infectious conditions of the newborn,171991.5
2021,Acute lower respiratory infections,188006.2
2021,Congenital anomalies,239560.6
2021,Other Group 1 and Other noncommunicable (neonatal and under-5 only),250102.8
2021,Diarrhoeal diseases,30737.2
2021,Birth asphyxia and birth trauma,557732.8
2021,Tetanus,7718.6
2021,HIV/AIDS,834.7
2021,Prematurity,866284.3
2020,Tuberculosis,0.0
2020,Measles,0.0
2020,Malaria,0.7
2020,Injuries,13368.6
2020,Meningitis/encephalitis,17438.9
2020,Sepsis and other infectious conditions of the newborn,175581.1
2020,Acute lower respiratory infections,192774.2
2020,Congenital anomalies,245292.4
2020,Other Group 1 and Other noncommunicable (neonatal and under-5 only),258359.6
2020,Diarrhoeal diseases,31640.5
2020,Birth asphyxia and birth trauma,572310.9
2020,Tetanus,8020.2
2020,Prematurity,888402.8
2020,HIV/AIDS,905.0
2019,Tuberculosis,0.0
2019,Measles,0.0
2019,Malaria,0.8
2019,Injuries,14224.2
2019,Meningitis/encephalitis,17882.0
2019,Sepsis and other infectious conditions of the newborn,180987.2
2019,Acute lower respiratory infections,199054.3
2019,Congenital anomalies,253377.7
2019,Other Group 1 and Other noncommunicable (neonatal and under-5 only),268296.5
2019,Diarrhoeal diseases,32753.2
2019,Birth asphyxia and birth trauma,590071.7
2019,Tetanus,8205.1
2019,Prematurity,916271.4
2019,HIV/AIDS,939.7
2018,Tuberculosis,0.0
2018,Measles,0.0
2018,Malaria,0.6
2018,Injuries,16697.8
2018,Meningitis/encephalitis,18371.6
2018,Sepsis and other infectious conditions of the newborn,186597.7
2018,Acute lower respiratory infections,207095.1
2018,Congenital anomalies,258035.5
2018,Other Group 1 and Other noncommunicable (neonatal and under-5 only),276213.6
2018,Diarrhoeal diseases,34251.8
2018,Birth asphyxia and birth trauma,610626.1
2018,Tetanus,8697.6
2018,Prematurity,943107.7
2018,HIV/AIDS,952.9
2017,Tuberculosis,0.0
2017,Measles,0.0
2017,Malaria,0.7
2017,Injuries,14156.3
2017,Meningitis/encephalitis,18809.7
2017,Sepsis and other infectious conditions of the newborn,191220.2
2017,Acute lower respiratory infections,214788.9
2017,Congenital anomalies,263024.0
2017,Other Group 1 and Other noncommunicable (neonatal and under-5 only),287279.9
2017,Diarrhoeal diseases,35698.0
2017,Birth asphyxia and birth trauma,629041.8
2017,Tetanus,9067.4
2017,Prematurity,968927.3
2017,HIV/AIDS,978.8
2016,Tuberculosis,0.0
2016,Measles,0.0
2016,Malaria,1.1
2016,HIV/AIDS,1015.8
2016,Injuries,14779.2
2016,Meningitis/encephalitis,19520.2
2016,Sepsis and other infectious conditions of the newborn,197046.2
2016,Acute lower respiratory infections,223388.5
2016,Congenital anomalies,267207.4
2016,Other Group 1 and Other noncommunicable (neonatal and under-5 only),297561.2
2016,Diarrhoeal diseases,37696.8
2016,Birth asphyxia and birth trauma,649167.4
2016,Tetanus,9925.3
2016,Prematurity,992847.0
2015,Tuberculosis,0.0
2015,Measles,0.0
2015,Malaria,0.0
2015,Prematurity,1017651.8
2015,Tetanus,10813.2
2015,HIV/AIDS,1091.7
2015,Injuries,15841.2
2015,Sepsis and other infectious conditions of the newborn,200868.4
2015,Meningitis/encephalitis,20259.2
2015,Acute lower respiratory infections,230172.6
2015,Congenital anomalies,267258.4
2015,Other Group 1 and Other noncommunicable (neonatal and under-5 only),304732.2
2015,Diarrhoeal diseases,39372.1
2015,Birth asphyxia and birth trauma,664143.0
2014,Tuberculosis,0.0
2014,Measles,0.0
2014,Malaria,1.1
2014,Prematurity,1043652.1
2014,HIV/AIDS,1175.0
2014,Tetanus,11755.7
2014,Injuries,15721.2
2014,Sepsis and other infectious conditions of the newborn,205423.6
2014,Meningitis/encephalitis,21166.8
2014,Acute lower respiratory infections,238606.0
2014,Congenital anomalies,270667.1
2014,Other Group 1 and Other noncommunicable (neonatal and under-5 only),314437.3
2014,Diarrhoeal diseases,41467.7
2014,Birth asphyxia and birth trauma,684036.4
2013,Tuberculosis,0.0
2013,Measles,0.0
2013,Malaria,1.2
2013,Prematurity,1074245.1
2013,Tetanus,12558.1
2013,HIV/AIDS,1376.3
2013,Injuries,16171.3
2013,Sepsis and other infectious conditions of the newborn,211500.3
2013,Meningitis/encephalitis,22105.6
2013,Acute lower respiratory infections,250174.8
2013,Congenital anomalies,273597.0
2013,Other Group 1 and Other noncommunicable (neonatal and under-5 only),324943.3
2013,Diarrhoeal diseases,43824.9
2013,Birth asphyxia and birth trauma,705812.2
2012,Tuberculosis,0.0
2012,Measles,0.0
2012,Malaria,0.0
2012,Prematurity,1099779.6
2012,Tetanus,13270.4
2012,HIV/AIDS,1607.5
2012,Injuries,17052.8
2012,Sepsis and other infectious conditions of the newborn,218043.1
2012,Meningitis/encephalitis,23013.1
