date,Value
2023,73.519462
2024,73.530654
2025,72.775318
2026,71.978115
2027,71.249404
2028,70.453936
2029,69.668342
2030,68.836406
2031,67.947322
2032,67.172121
2033,66.241927
2034,65.312155
2035,64.333236
2036,63.286213
2037,62.353915
2038,61.372388
2039,60.173001
2040,59.006444
2041,57.840066
2042,56.608137
2043,55.272011
2044,53.872772
2045,52.398371
2046,50.897052
2047,49.318157
2048,47.636076
2049,45.848294
2050,44.103995
2051,42.227277
2052,40.664148
2053,38.855516
2054,37.224631
2055,35.585044
2056,34.052885
2057,32.582097
2058,31.158918
2059,29.634121
2060,28.422712
2061,27.25714
2062,26.213275
2063,25.070854
2064,24.059841
2065,22.843838
2066,21.773457
2067,20.848989
2068,19.730597
2069,18.674407
2070,17.510554
2071,16.441871
2072,15.394381
2073,14.270061
2074,13.053638
2075,11.830345
2076,10.543287
2077,9.261211
2078,8.075428
2079,6.96003
2080,5.781726
2081,4.648223
2082,3.695971
2083,2.712331
2084,1.730807
2085,0.733777
2086,-0.238039
2087,-1.077971
2088,-1.794709
2089,-2.662776
2090,-3.456006
2091,-4.330561
2092,-5.042851
2093,-5.893448
2094,-6.543187
2095,-7.388141
2096,-8.187988
2097,-9.067896
2098,-9.817313
2099,-10.533215
2100,-11.357926
