Location,Time,Sex,Age,Value
World,2023,Male,0-24,1677076896.0
World,2023,Female,0-24,1577433798.0
World,2023,Male,25-49,1410125523.0
World,2023,Female,25-49,1359491383.0
World,2023,Male,50+,833183602.5
World,2023,Female,50+,887296957.0
World,2023,Male,75+,122601673.5
World,2023,Female,75+,178101614.0
World,2024,Male,0-24,1680431804.0
World,2024,Female,0-24,1581757319.5
World,2024,Male,25-49,1420109465.5
World,2024,Female,25-49,1367822553.5
World,2024,Male,50+,850560359.0
World,2024,Female,50+,904930000.5
World,2024,Male,75+,128063186.5
World,2024,Female,75+,185161311.0
World,2025,Male,0-24,1683164315.5
World,2025,Female,0-24,1585619992.0
World,2025,Male,25-49,1431174724.0
World,2025,Female,25-49,1377172924.0
World,2025,Male,50+,866701018.5
World,2025,Female,50+,921054114.0
World,2025,Male,75+,134058858.0
World,2025,Female,75+,193042507.0
World,2026,Male,0-24,1685443248.0
World,2026,Female,0-24,1589118375.0
World,2026,Male,25-49,1442921556.0
World,2026,Female,25-49,1387229504.0
World,2026,Male,50+,881753962.5
World,2026,Female,50+,935906866.0
World,2026,Male,75+,140469106.5
World,2026,Female,75+,201521891.5
World,2027,Male,0-24,1687760257.0
World,2027,Female,0-24,1592652196.0
World,2027,Male,25-49,1454654765.0
World,2027,Female,25-49,1397381614.0
World,2027,Male,50+,895907342.0
World,2027,Female,50+,949709969.5
World,2027,Male,75+,147321844.5
World,2027,Female,75+,210589683.0
World,2028,Male,0-24,1689965177.0
World,2028,Female,0-24,1596106983.0
World,2028,Male,25-49,1466238245.0
World,2028,Female,25-49,1407443993.5
World,2028,Male,50+,909685818.0
World,2028,Female,50+,963019964.5
World,2028,Male,75+,154380636.0
World,2028,Female,75+,219987974.5
World,2029,Male,0-24,1691833876.0
World,2029,Female,0-24,1599307345.0
World,2029,Male,25-49,1477079255.5
World,2029,Female,25-49,1416792751.0
World,2029,Male,50+,923943059.5
World,2029,Female,50+,976714399.5
World,2029,Male,75+,161599434.0
World,2029,Female,75+,229619270.0
World,2030,Male,0-24,1693268196.0
World,2030,Female,0-24,1602170112.5
World,2030,Male,25-49,1487005066.0
World,2030,Female,25-49,1425245164.5
World,2030,Male,50+,938802972.0
World,2030,Female,50+,990869266.5
World,2030,Male,75+,169124667.0
World,2030,Female,75+,239655882.0
World,2031,Male,0-24,1694234645.0
World,2031,Female,0-24,1604638540.5
World,2031,Male,25-49,1496270429.0
World,2031,Female,25-49,1433051421.0
World,2031,Male,50+,954417667.0
World,2031,Female,50+,1005797507.5
World,2031,Male,75+,176561560.5
World,2031,Female,75+,249560974.0
World,2032,Male,0-24,1694522422.0
World,2032,Female,0-24,1606507929.0
World,2032,Male,25-49,1505053343.5
World,2032,Female,25-49,1440359850.5
World,2032,Male,50+,970635050.5
World,2032,Female,50+,1021329791.0
World,2032,Male,75+,184119040.5
World,2032,Female,75+,259564556.0
World,2033,Male,0-24,1694036355.0
World,2033,Female,0-24,1607689847.5
World,2033,Male,25-49,1514276760.0
World,2033,Female,25-49,1448039523.5
World,2033,Male,50+,986853391.5
World,2033,Female,50+,1036918041.5
World,2033,Male,75+,191571947.0
World,2033,Female,75+,269412675.5
World,2034,Male,0-24,1692949452.5
World,2034,Female,0-24,1608342986.5
World,2034,Male,25-49,1523946221.5
World,2034,Female,25-49,1456108259.5
World,2034,Male,50+,1003643271.5
World,2034,Female,50+,1053270563.0
World,2034,Male,75+,198136933.0
World,2034,Female,75+,278177483.5
World,2035,Male,0-24,1691570030.0
World,2035,Female,0-24,1608733907.5
World,2035,Male,25-49,1532910716.5
World,2035,Female,25-49,1463497138.0
World,2035,Male,50+,1021437528.0
World,2035,Female,50+,1070692275.5
World,2035,Male,75+,204219230.0
World,2035,Female,75+,286336575.5
World,2036,Male,0-24,1689981167.0
World,2036,Female,0-24,1608907449.5
World,2036,Male,25-49,1540885699.5
World,2036,Female,25-49,1469995952.5
World,2036,Male,50+,1040085735.0
World,2036,Female,50+,1088954453.5
World,2036,Male,75+,210149003.5
World,2036,Female,75+,294247241.5
World,2037,Male,0-24,1687789491.5
World,2037,Female,0-24,1608500962.0
World,2037,Male,25-49,1548282793.5
World,2037,Female,25-49,1476035143.0
World,2037,Male,50+,1058215514.0
World,2037,Female,50+,1106422844.0
World,2037,Male,75+,217294913.5
World,2037,Female,75+,303484708.0
World,2038,Male,0-24,1685408990.0
World,2038,Female,0-24,1607873760.0
World,2038,Male,25-49,1555486694.0
World,2038,Female,25-49,1482022184.0
World,2038,Male,50+,1073945460.0
World,2038,Female,50+,1121039820.5
World,2038,Male,75+,226764212.0
World,2038,Female,75+,315347905.5
World,2039,Male,0-24,1683215006.0
World,2039,Female,0-24,1607364370.0
World,2039,Male,25-49,1562204178.0
World,2039,Female,25-49,1487686643.0
