Year,ages,female,male
2023,0-4,0.319557714,0.3370824675
2023,5-9,0.331015496,0.351715561
2023,10-14,0.325046485,0.346898098
2023,15-19,0.3076295765,0.328189555
2023,20-24,0.2941845265,0.313191215
2023,25-29,0.2874974515,0.304421477
2023,30-34,0.2944614435,0.308206126
2023,35-39,0.28374258,0.29365066
2023,40-44,0.2581340005,0.2649545665
2023,45-49,0.2356559075,0.2388926935
2023,50-54,0.231469447,0.230886182
2023,55-59,0.210274344,0.2043964875
2023,60-64,0.1738073035,0.162559789
2023,65-69,0.1525562375,0.1356786855
2023,70-74,0.119189625,0.0996624585
2023,75-79,0.078620257,0.0616530885
2023,80-84,0.052173305,0.0361076505
2023,85-89,0.0303110325,0.017564615
2023,90-94,0.0129394895,0.005956267
2023,95-99,0.003510425,0.001189572
2023,100+,0.000547105,0.0001304805
2024,0-4,0.317870545,0.3348016705
2024,5-9,0.329407713,0.349534148
2024,10-14,0.3270641155,0.348796469
2024,15-19,0.311182871,0.332007571
2024,20-24,0.296232075,0.3152919455
2024,25-29,0.2875267965,0.3048603405
2024,30-34,0.292398875,0.306528586
2024,35-39,0.288227513,0.2986120335
2024,40-44,0.2629962835,0.269993781
2024,45-49,0.2366730855,0.2401147245
2024,50-54,0.232586284,0.2322108455
2024,55-59,0.212733178,0.20712719
2024,60-64,0.1812102745,0.169948906
2024,65-69,0.1544533065,0.137638922
2024,70-74,0.1239469575,0.1036344955
2024,75-79,0.083250699,0.0651678815
2024,80-84,0.0530400575,0.0370590205
2024,85-89,0.031250902,0.0182335175
2024,90-94,0.013367927,0.006194605
2024,95-99,0.0036701425,0.0012676705
2024,100+,0.000581583,0.0001404915
2025,0-4,0.317304313,0.3337497145
2025,5-9,0.326874751,0.3463245105
2025,10-14,0.328601265,0.350122323
2025,15-19,0.314647822,0.3356946665
2025,20-24,0.298191841,0.317273101
2025,25-29,0.2882207275,0.3059092625
2025,30-34,0.2895532845,0.3040572025
2025,35-39,0.292323336,0.303291424
2025,40-44,0.267558596,0.274699514
2025,45-49,0.23951698,0.243217321
2025,50-54,0.232680661,0.232490349
2025,55-59,0.2160267695,0.2107055035
2025,60-64,0.1884977105,0.177218825
2025,65-69,0.155325661,0.1386950245
2025,70-74,0.128523312,0.1075913165
2025,75-79,0.088534949,0.069148563
2025,80-84,0.0539988335,0.0380102165
2025,85-89,0.032206138,0.0189543555
2025,90-94,0.013840329,0.006444418
2025,95-99,0.003848378,0.00135172
2025,100+,0.0006138795,0.000149585
2026,0-4,0.3177720315,0.333844857
2026,5-9,0.323422895,0.342084097
2026,10-14,0.3298036405,0.3510671345
2026,15-19,0.317912511,0.3391206755
2026,20-24,0.300207297,0.319326484
2026,25-29,0.289499485,0.3074755205
2026,30-34,0.2873349475,0.3022570465
2026,35-39,0.2944461035,0.305949517
2026,40-44,0.272168813,0.279487323
2026,45-49,0.243780155,0.247752149
2026,50-54,0.2321108005,0.2320984735
2026,55-59,0.219678992,0.2146271235
2026,60-64,0.1955260595,0.1842402725
2026,65-69,0.1561357595,0.139683768
2026,70-74,0.1324552545,0.111104325
2026,75-79,0.0937240955,0.0730556285
2026,80-84,0.0556085695,0.039399961
2026,85-89,0.033146372,0.019674135
2026,90-94,0.0143724575,0.006749927
2026,95-99,0.004021016,0.0014286125
2026,100+,0.000649381,0.0001608425
2027,0-4,0.3186200355,0.3343665105
2027,5-9,0.319663836,0.337482394
2027,10-14,0.3303652535,0.3513111165
2027,15-19,0.3211246225,0.342450196
2027,20-24,0.3028784485,0.32215004
2027,25-29,0.2910185415,0.309158608
2027,30-34,0.286411764,0.3018478825
2027,35-39,0.2939593085,0.305826168
2027,40-44,0.2766913485,0.284286112
2027,45-49,0.2493006515,0.2535359945
2027,50-54,0.231668933,0.2318441065
2027,55-59,0.223295257,0.21848469
2027,60-64,0.200341338,0.1891377755
2027,65-69,0.1584007365,0.142059193
2027,70-74,0.136003705,0.114381577
2027,75-79,0.0984769775,0.0766803535
2027,80-84,0.05836536,0.0415566875
2027,85-89,0.0339351825,0.0203231945
2027,90-94,0.0149371885,0.0070911845
2027,95-99,0.004189067,0.001496881
2027,100+,0.0006859075,0.0001735435
2028,0-4,0.319504952,0.3349467875
2028,5-9,0.3168212915,0.3339007865
2028,10-14,0.32975979,0.3502494965
2028,15-19,0.3238531935,0.3451880535
2028,20-24,0.306167756,0.325680053
2028,25-29,0.2927932095,0.311007883
2028,30-34,0.2860291745,0.301965513
2028,35-39,0.2924845605,0.3046940535
2028,40-44,0.2811571275,0.289131359
2028,45-49,0.2549799215,0.2594394365
2028,50-54,0.231533312,0.231902593
2028,55-59,0.225743818,0.221164679
2028,60-64,0.202708549,0.191739248
2028,65-69,0.1638804695,0.1474855225
2028,70-74,0.139153816,0.1173937755
2028,75-79,0.1029599265,0.0801525905
2028,80-84,0.0618134235,0.044061403
2028,85-89,0.0346249435,0.0209768395
2028,90-94,0.0155046335,0.007434996
2028,95-99,0.0043618065,0.0015683745
2028,100+,0.000723241,0.0001864325
2029,0-4,0.320386225,0.3355493145
2029,5-9,0.3151595425,0.331626428
2029,10-14,0.3281653115,0.3480773575
2029,15-19,0.3258777365,0.347091451
2029,20-24,0.3097185295,0.3294893255
2029,25-29,0.2948355645,0.313099594
2029,30-34,0.286063558,0.302413832
2029,35-39,0.290438763,0.3030474315
2029,40-44,0.28563679,0.294082182
2029,45-49,0.2598180755,0.264436216
2029,50-54,0.2325602375,0.2331469085
2029,55-59,0.226882108,0.222525508
2029,60-64,0.2051853195,0.194488828
2029,65-69,0.1710995795,0.1545132265
2029,70-74,0.140987155,0.1192685885
2029,75-79,0.1072091625,0.0835250175
2029,80-84,0.065684827,0.0467884
2029,85-89,0.035375243,0.0216700765
2029,90-94,0.016048788,0.0077727935
2029,95-99,0.004536692,0.0016424225
2029,100+,0.0007645575,0.000200724
2030,0-4,0.3212918625,0.3362033385
2030,5-9,0.3146240905,0.330589884
2030,10-14,0.3256478595,0.3448798865
2030,15-19,0.3274244015,0.3484254805
2030,20-24,0.3131818985,0.3331696065
2030,25-29,0.2967911405,0.315073939
2030,30-34,0.2867588325,0.303466711
2030,35-39,0.2876098725,0.300607601
2030,40-44,0.28972748,0.2987517115
2030,45-49,0.264357839,0.2691051035
2030,50-54,0.2353880155,0.236224199
2030,55-59,0.227001301,0.2228550315
2030,60-64,0.2084579135,0.198014911
2030,65-69,0.17817347,0.161384296
2030,70-74,0.1418485665,0.1203245345
2030,75-79,0.1113110235,0.086904704
2030,80-84,0.070040054,0.049811348
2030,85-89,0.036155496,0.022336364
2030,90-94,0.016612349,0.008136629
2030,95-99,0.0047277395,0.0017201155
2030,100+,0.00080922,0.0002155065
2031,0-4,0.322209818,0.336896106
2031,5-9,0.315130141,0.3307109825
2031,10-14,0.3222137805,0.340655184
2031,15-19,0.328638056,0.3493809495
2031,20-24,0.316446745,0.336591423
2031,25-29,0.2988049635,0.3171238105
2031,30-34,0.2880377005,0.3050343075
2031,35-39,0.285406324,0.298835606
2031,40-44,0.2918536775,0.3014161975
2031,45-49,0.2689487555,0.2738605075
2031,50-54,0.239619279,0.2407038155
2031,55-59,0.226463147,0.222528268
2031,60-64,0.2120746955,0.2018571225
2031,65-69,0.18498459,0.168004401
2031,70-74,0.142655796,0.12132406
2031,75-79,0.1148496425,0.0899264575
2031,80-84,0.0743143125,0.0527794435
2031,85-89,0.037412974,0.02330258
2031,90-94,0.0171899605,0.0085067115
2031,95-99,0.0049407265,0.0018172785
2031,100+,0.000853358,0.0002290895
2032,0-4,0.323147788,0.337638707
2032,5-9,0.3160151895,0.331257266
2032,10-14,0.318472878,0.33607033
2032,15-19,0.3292122025,0.349637852
2032,20-24,0.319659871,0.3399182675
2032,25-29,0.3014740665,0.3199411505
2032,30-34,0.2895552875,0.3067152615
2032,35-39,0.284494816,0.2984470395
2032,40-44,0.2913802115,0.3013188295
2032,45-49,0.273455469,0.2786310625
2032,50-54,0.245095104,0.2464084805
2032,55-59,0.226047922,0.222329628
2032,60-64,0.2156472205,0.2056211775
2032,65-69,0.189666726,0.1726584395
2032,70-74,0.1448728185,0.123617325
2032,75-79,0.1180672075,0.0927767715
2032,80-84,0.0782278545,0.055547369
2032,85-89,0.039513991,0.0247817195
2032,90-94,0.017696279,0.008847227
2032,95-99,0.005162274,0.001924666
2032,100+,0.00089695,0.0002412875
2033,0-4,0.3240937135,0.3384211715
2033,5-9,0.31693611,0.331861876
2033,10-14,0.315647532,0.3325044935
2033,15-19,0.328620544,0.3485913155
2033,20-24,0.322391948,0.3426574985
2033,25-29,0.304760086,0.3234623875
2033,30-34,0.2913268355,0.308560123
2033,35-39,0.284122043,0.298580916
2033,40-44,0.2899228315,0.300220718
2033,45-49,0.2779077275,0.2834526155
2033,50-54,0.2507256705,0.2522252705
2033,55-59,0.2259318355,0.2224318565
2033,60-64,0.218076457,0.2082603725
2033,65-69,0.192021998,0.175233385
2033,70-74,0.1501620805,0.128702507
2033,75-79,0.1209440935,0.0954257685
2033,80-84,0.0818923495,0.058189664
2033,85-89,0.042087497,0.0264699415
2033,90-94,0.0181643075,0.009200125
2033,95-99,0.0053829265,0.002032453
2033,100+,0.0009415015,0.000253995
2034,0-4,0.325025827,0.3392153175
2034,5-9,0.317852485,0.332488215
2034,10-14,0.314001287,0.330243869
2034,15-19,0.3270402195,0.3464349325
2034,20-24,0.324423168,0.3445671185
2034,25-29,0.3083070665,0.3272628715
2034,30-34,0.293365541,0.3106469415
2034,35-39,0.284163435,0.2990417665
2034,40-44,0.2878973355,0.298612757
2034,45-49,0.2823748815,0.288381885
2034,50-54,0.255523624,0.257152803
2034,55-59,0.2269607265,0.223686951
2034,60-64,0.219225625,0.2096434895
2034,65-69,0.194494103,0.1779631765
2034,70-74,0.1570664845,0.1351968515
2034,75-79,0.122634899,0.097114558
2034,80-84,0.085374789,0.0607761795
2034,85-89,0.044916198,0.0282676905
2034,90-94,0.0186678,0.0095707975
2034,95-99,0.005596403,0.0021401545
2034,100+,0.0009873945,0.000267553
2035,0-4,0.325945326,0.3400203205
2035,5-9,0.31879199,0.333165058
2035,10-14,0.3134801555,0.3292194045
2035,15-19,0.3245373645,0.343254022
2035,20-24,0.3259790715,0.345911225
2035,25-29,0.31176709,0.3309358885
2035,30-34,0.2953184565,0.3126179115
2035,35-39,0.284862721,0.3001027995
2035,40-44,0.285091583,0.296217072
2035,45-49,0.2864572875,0.293037045
2035,50-54,0.2600314375,0.2617691025
2035,55-59,0.229763651,0.2267237805
2035,60-64,0.2193744195,0.210034543
2035,65-69,0.197725274,0.181401468
2035,70-74,0.1637974935,0.141508634
2035,75-79,0.1234683745,0.0981307315
2035,80-84,0.0887867535,0.06341597
2035,85-89,0.0480434215,0.030212204
2035,90-94,0.0191722635,0.009919843
2035,95-99,0.005828036,0.00225843
2035,100+,0.0010377265,0.0002820515
2036,0-4,0.326843766,0.340824649
2036,5-9,0.3197428445,0.333880319
2036,10-14,0.3139990275,0.329350373
2036,15-19,0.321117996,0.3390461865
2036,20-24,0.3272038155,0.3468796395
2036,25-29,0.3150298785,0.334353063
2036,30-34,0.297329896,0.314665475
2036,35-39,0.2861422375,0.3016734755
2036,40-44,0.2829076375,0.2944837875
2036,45-49,0.288586303,0.2957098985
2036,50-54,0.2645951645,0.2664791785
2036,55-59,0.2339492295,0.231124676
2036,60-64,0.2188777015,0.209794598
2036,65-69,0.201282715,0.185127145
2036,70-74,0.170249643,0.1475601375
2036,75-79,0.124261274,0.0991094715
2036,80-84,0.0917472555,0.0657992055
2036,85-89,0.0511063475,0.0321239225
2036,90-94,0.0199647565,0.010436381
2036,95-99,0.006074716,0.0023796905
2036,100+,0.001092892,0.0003003325
2037,0-4,0.327709111,0.3416080005
2037,5-9,0.3207137845,0.334646041
2037,10-14,0.314896017,0.329905341
2037,15-19,0.317391299,0.334477723
2037,20-24,0.3277907505,0.347152386
2037,25-29,0.318242924,0.337678475
2037,30-34,0.2999956195,0.3174783615
2037,35-39,0.2876573395,0.3033532425
2037,40-44,0.2820103285,0.2941231985
2037,45-49,0.2881289315,0.295649516
2037,50-54,0.2690798845,0.271211533
2037,55-59,0.239362452,0.2367191465
2037,60-64,0.218497815,0.209672106
2037,65-69,0.204785432,0.188763273
2037,70-74,0.1746972605,0.1518494555
2037,75-79,0.126382685,0.101248701
2037,80-84,0.094471664,0.068082266
2037,85-89,0.0539131905,0.0339268425
2037,90-94,0.0212703425,0.01122527
2037,95-99,0.0062973735,0.0024916855
2037,100+,0.0011494525,0.0003201485
2038,0-4,0.3285591975,0.3423869755
2038,5-9,0.3216936035,0.3354528525
2038,10-14,0.3158287475,0.3305184595
2038,15-19,0.3145789845,0.330926602
2038,20-24,0.327213227,0.346124101
2038,25-29,0.320978265,0.3404213935
2038,30-34,0.303277251,0.3209926355
2038,35-39,0.2894244925,0.305194293
2038,40-44,0.2816490385,0.2942789325
2038,45-49,0.286693137,0.2945994395
2038,50-54,0.2735127115,0.2759991955
2038,55-59,0.2449258055,0.2424172155
2038,60-64,0.218408433,0.209836406
2038,65-69,0.20718126,0.191346792
2038,70-74,0.1770116105,0.154345851
2038,75-79,0.1313456125,0.105830959
2038,80-84,0.0969341095,0.070234461
2038,85-89,0.056518252,0.035641944
2038,90-94,0.0228353075,0.012106457
2038,95-99,0.006509097,0.0026105955
2038,100+,0.001205527,0.0003397955
2039,0-4,0.329355172,0.3431233895
2039,5-9,0.322659975,0.3362720145
2039,10-14,0.3167568815,0.3311531945
2039,15-19,0.3129447555,0.3286791345
2039,20-24,0.3256475865,0.343987273
2039,25-29,0.3230161275,0.34233983
2039,30-34,0.3068198655,0.324785857
2039,35-39,0.2914586165,0.307276659
2039,40-44,0.281698951,0.2947567095
2039,45-49,0.2846930825,0.2930451225
2039,50-54,0.2779611055,0.2808951735
2039,55-59,0.249667968,0.2472502975
2039,60-64,0.2194401165,0.211110091
2039,65-69,0.208340711,0.1927588045
2039,70-74,0.1794576785,0.157009797
2039,75-79,0.1377364095,0.111576967
2039,80-84,0.098395033,0.071640198
2039,85-89,0.059008066,0.0373398095
2039,90-94,0.0245015145,0.013015092
2039,95-99,0.0067316055,0.0027338695
2039,100+,0.0012608905,0.0003598195
2040,0-4,0.3300525275,0.3437676345
2040,5-9,0.3236141385,0.33710282
2040,10-14,0.3177083155,0.331838505
2040,15-19,0.312434688,0.3276664505
2040,20-24,0.3231601195,0.340827527
2040,25-29,0.3245810465,0.343696045
2040,30-34,0.3102768965,0.3284534805
2040,35-39,0.2934086015,0.3092455475
2040,40-44,0.2824034695,0.2958293465
2040,45-49,0.281916664,0.2907101855
2040,50-54,0.2820306055,0.285526745
2040,55-59,0.25413037,0.2517933885
2040,60-64,0.2222085425,0.214095279
2040,65-69,0.2085270645,0.1932325155
2040,70-74,0.182606626,0.160297136
2040,75-79,0.143916527,0.1171115405
2040,80-84,0.0991664215,0.072551498
2040,85-89,0.0615022895,0.039113707
2040,90-94,0.026287534,0.013960285
2040,95-99,0.0069460455,0.002846878
2040,100+,0.001323489,0.0003819955
2041,0-4,0.330675821,0.3443440475
2041,5-9,0.3245482625,0.3379345325
2041,10-14,0.318671501,0.3325627355
2041,15-19,0.312963725,0.3278077425
2041,20-24,0.3197570345,0.3366423705
2041,25-29,0.3258167595,0.344679341
2041,30-34,0.313538539,0.3318673925
2041,35-39,0.2954185775,0.311292996
2041,40-44,0.283684943,0.2974054215
2041,45-49,0.2797580775,0.289029578
2041,50-54,0.2841626995,0.2882073475
2041,55-59,0.2586541385,0.256438257
2041,60-64,0.2263302525,0.2183906205
2041,65-69,0.20808576,0.1931086005
2041,70-74,0.1860552205,0.1638353295
2041,75-79,0.149796061,0.122375881
2041,80-84,0.099921403,0.073450968
2041,85-89,0.0636882245,0.0407339925
